loan_id,customer_id,loan_type,principal,interest_rate,term_months,start_date,status
LOAN300073,CUST102289,Business,21660.62,18.05,36,2016-08-06 20:32:46.951675653,Closed
LOAN300074,CUST100117,Student,11526.3,16.02,84,2017-12-29 16:29:19.675441742,Active
LOAN300075,CUST102741,Business,117457.91,9.0,60,2018-12-02 04:26:59.561868668,Active
LOAN300076,CUST103855,Business,59266.96,14.99,48,2016-12-01 00:03:16.475316763,Active
LOAN300077,CUST101153,Home,82363.73,20.34,48,2020-07-03 14:53:42.689826727,Restructured
LOAN300078,CUST102828,Home,47484.03,17.41,36,2020-01-24 14:48:36.240271330,Active
LOAN300079,CUST100062,Student,40718.6,16.82,120,2020-06-23 06:40:09.408319950,Defaulted
LOAN300080,CUST104591,Vehicle,18369.05,13.28,60,2019-07-23 21:06:43.712743282,Active
LOAN300081,CUST102746,Vehicle,18676.63,22.39,24,2023-10-23 13:16:05.591463566,Active
LOAN300082,CUST102518,Home,11533.02,21.63,36,2019-05-17 16:58:03.545527697,Closed
LOAN300083,CUST101460,Student,13722.0,13.68,36,2022-06-13 10:57:43.131821156,Active
LOAN300084,CUST104851,Business,59944.14,15.57,84,2022-06-21 09:19:20.675233126,Closed
LOAN300085,CUST102572,Home,24224.48,7.61,240,2019-01-30 04:05:12.359715223,Closed
LOAN300086,CUST103126,Student,10263.77,23.38,240,2023-07-04 22:40:53.775091887,Active
LOAN300087,CUST101136,Student,243546.53,17.89,36,2016-04-19 15:43:53.439436436,Active
LOAN300088,CUST101386,Student,8396.91,8.86,240,2019-03-20 15:59:03.344760656,Active
LOAN300089,CUST101456,Vehicle,36160.67,16.15,240,2023-11-15 07:16:29.262390614,Active
LOAN300090,CUST101148,Business,14361.55,17.07,24,2020-07-17 20:39:22.853025198,Restructured
LOAN300091,CUST104112,Business,76265.84,21.25,60,2021-09-17 12:38:25.492129564,Active
LOAN300092,CUST100239,Personal,35022.75,7.73,36,2022-01-08 01:56:06.431135178,Active
LOAN300093,CUST102529,Vehicle,92103.92,21.9,12,2021-12-23 12:05:03.201697826,Defaulted
LOAN300094,CUST101918,Home,394888.84,22.74,24,2018-02-28 10:24:54.032248259,Closed
LOAN300095,CUST101225,Home,7378.02,17.37,12,2023-02-11 09:10:14.991058826,Active
LOAN300096,CUST103448,Business,81858.69,14.86,48,2016-04-12 01:09:56.333123446,Active
LOAN300097,CUST101054,Vehicle,54452.87,12.47,60,2025-01-03 23:47:05.252806664,Active
LOAN300098,CUST102303,Home,33892.82,10.13,240,2024-11-12 03:21:10.131500243,Active
LOAN300099,CUST102175,Student,30686.95,23.09,120,2021-04-30 15:37:51.822185040,Defaulted
LOAN300100,CUST101037,Personal,11708.48,9.36,48,2016-12-03 21:43:52.232624531,Closed
LOAN300101,CUST102283,Student,101689.88,13.45,48,2022-10-20 17:42:50.403011799,Defaulted
LOAN300102,CUST104093,Personal,138385.57,18.34,240,2018-12-30 23:29:04.838285685,Restructured
LOAN300103,CUST104075,Vehicle,10441.43,8.34,120,2026-02-03 20:48:58.829129696,Closed
LOAN300104,CUST101562,Home,82914.51,17.85,12,2025-12-20 17:35:25.878685951,Closed
LOAN300105,CUST100904,Vehicle,103784.25,19.51,84,2024-04-06 11:22:17.457421303,Active
LOAN300106,CUST100025,Home,11346.73,21.62,84,2016-08-30 09:03:43.695237637,Closed
LOAN300107,CUST100498,Student,199490.03,12.49,240,2025-06-07 16:24:06.734178782,Active
LOAN300108,CUST102513,Vehicle,107066.68,11.13,36,2016-05-07 08:18:10.944545984,Active
LOAN300109,CUST102952,Business,20734.48,24.5,12,2025-11-15 17:57:40.257477283,Active
LOAN300110,CUST101571,Personal,32311.02,14.43,36,2016-12-18 22:44:00.041052818,Defaulted
LOAN300111,CUST104607,Student,72708.87,13.03,12,2019-11-26 02:28:43.783300400,Active
LOAN300112,CUST104638,Vehicle,32531.25,10.13,12,2018-06-20 14:26:19.180991411,Closed
LOAN300113,CUST101425,Home,39772.42,17.44,84,2025-01-24 10:10:09.548410892,Active
LOAN300114,CUST101879,Vehicle,61478.36,24.85,84,2018-04-05 15:55:23.693799734,Closed
LOAN300115,CUST101184,Home,49099.42,17.24,12,2025-09-08 19:46:03.187505960,Active
LOAN300116,CUST101648,Vehicle,13967.83,,48,2021-10-14 04:11:43.380532026,Defaulted
LOAN300117,CUST102318,Home,19920.24,9.15,84,2019-01-05 23:14:01.558094740,Active
LOAN300118,CUST103390,Vehicle,18653.78,19.85,12,2021-02-19 00:52:41.448894739,Active
LOAN300119,CUST103313,Home,86134.62,12.89,48,2018-08-08 05:57:53.805300951,Active
LOAN300120,CUST100596,Business,66165.09,11.2,36,2016-12-31 09:52:19.573073387,Active
LOAN300121,CUST103713,Student,38716.7,12.99,240,2017-09-16 02:18:52.342706680,Active
LOAN300122,CUST102144,Student,25161.68,21.76,24,2018-01-15 12:05:36.040113688,Active
LOAN300123,CUST101140,Home,39015.03,9.89,84,2018-10-16 11:12:36.218253374,Closed
LOAN300124,CUST102786,Business,44560.37,9.41,12,2023-08-31 19:12:33.403257370,Defaulted
LOAN300125,CUST102688,Vehicle,7365.33,19.47,240,2019-04-09 14:57:33.193320036,Active
LOAN300126,CUST102980,Student,86839.68,13.01,84,2018-08-14 20:16:26.261725902,Active
LOAN300127,CUST102047,Student,156333.36,14.22,240,2021-12-02 11:35:06.760266781,Active
LOAN300128,CUST100581,Personal,35861.69,12.29,48,2023-01-12 01:33:07.042628765,Active
LOAN300129,CUST102279,Student,15056.01,8.62,12,2017-01-26 20:12:38.598033190,Active
LOAN300130,CUST101096,Home,11769.44,8.26,84,2024-05-15 23:17:38.562762737,Closed
LOAN300131,CUST103241,Business,86890.81,19.61,12,2017-06-18 13:45:45.205031872,Active
LOAN300132,CUST102269,Vehicle,5355.04,9.49,120,2019-09-03 14:46:20.147498131,Active
LOAN300133,CUST102131,Home,4469.18,23.4,24,2018-08-16 22:03:48.908112049,Closed
LOAN300134,CUST100403,Business,32759.25,14.55,84,2018-08-19 10:02:35.378314972,Active
LOAN300135,CUST102298,Home,67381.74,18.0,36,2025-09-13 06:41:16.070143938,Active
LOAN300136,CUST103382,Personal,75930.11,9.66,240,2018-06-18 12:42:49.744684458,Closed
LOAN300137,CUST100368,Home,24222.31,23.55,60,2023-02-18 02:54:36.646116972,Active
LOAN300138,CUST100607,Personal,56471.42,18.5,48,2019-12-23 10:40:06.018333673,Active
LOAN300139,CUST103597,Student,46841.2,11.45,12,2017-02-22 09:18:16.380199671,Restructured
LOAN300140,CUST102424,Vehicle,6648.02,18.39,24,2023-04-05 06:43:44.581526756,Active
LOAN300141,CUST102569,Vehicle,23257.56,17.1,36,2020-09-05 09:51:59.341123581,Active
LOAN300142,CUST103207,Student,62002.63,20.2,36,2020-09-25 13:59:48.884263039,Active
LOAN300143,CUST100894,Home,36022.88,19.16,84,2018-10-30 03:25:36.737869263,Active
LOAN300144,CUST101561,Student,37190.51,16.49,48,2018-12-09 17:52:55.309345722,Closed
LOAN300145,CUST100060,Vehicle,63907.66,15.67,60,2026-03-12 20:33:30.158114195,Defaulted
LOAN300146,CUST102470,Home,30441.02,24.28,60,2023-11-22 04:31:37.795536041,Defaulted
LOAN300147,CUST103293,Vehicle,18434.61,16.62,36,2017-08-27 09:01:41.431659937,Defaulted
LOAN300148,CUST103526,Personal,14640.99,19.88,48,2019-05-14 04:23:54.303795338,Active
LOAN300149,CUST103552,Business,57642.06,15.45,84,2016-08-28 14:46:26.359217405,Active
LOAN300150,CUST104921,Vehicle,101941.53,9.35,84,2025-08-05 16:04:02.855288982,Active
LOAN300151,CUST101836,Business,116748.45,24.11,48,2025-12-18 15:25:11.460206509,Active
LOAN300152,CUST104675,Home,27568.24,11.68,48,2022-09-15 02:43:44.684859514,Active
LOAN300153,CUST103788,Student,43072.55,15.49,120,2025-07-17 20:59:53.573380470,Active
LOAN300154,CUST100127,Business,59153.62,8.55,24,2018-11-09 16:13:52.923080921,Closed
LOAN300155,CUST103589,Business,10752.74,22.21,12,2023-07-19 22:18:27.080235958,Active
LOAN300156,CUST101097,Vehicle,4833.12,8.51,36,2020-09-13 15:05:36.822052717,Closed
LOAN300157,CUST104218,Business,170969.37,10.89,48,2018-10-15 21:47:34.214797974,Active
LOAN300158,CUST100855,Home,33724.84,10.45,240,2016-09-02 23:55:41.967652321,Closed
LOAN300159,CUST103876,Student,45689.2,11.38,48,2022-01-30 09:51:34.236190081,Closed
LOAN300160,CUST103165,Student,43445.13,23.86,84,2018-12-04 23:55:30.650976419,Closed
LOAN300161,CUST100588,Personal,18421.16,19.49,24,2022-03-15 16:23:40.952566862,Active
LOAN300162,CUST104072,Personal,355548.35,16.6,240,2025-04-20 10:54:07.044182301,Active
LOAN300163,CUST100027,Vehicle,14525.19,21.86,240,2019-12-13 09:17:19.634996653,Active
LOAN300164,CUST103462,Personal,4397.04,,120,2017-02-28 12:01:27.949561596,Closed
LOAN300165,CUST100277,Personal,39076.59,16.26,12,2024-07-23 11:08:21.744825363,Active
LOAN300166,CUST103980,Vehicle,1838.98,21.58,240,2021-10-13 22:32:32.982596636,Active
LOAN300167,CUST101867,Home,54550.98,14.27,60,2025-05-25 19:47:28.214936972,Closed
LOAN300168,CUST100311,Home,39522.35,21.99,120,2017-01-06 08:48:58.571558475,Active
LOAN300169,CUST104737,Home,31886.44,21.11,12,2024-02-27 05:00:43.565613031,Active
LOAN300170,CUST103987,Student,86054.09,20.9,120,2018-03-13 19:24:40.180521727,Closed
LOAN300171,CUST104907,Vehicle,18229.1,19.3,48,2020-11-10 18:08:07.995635509,Closed
LOAN300172,CUST104507,Home,62791.03,21.69,48,2022-04-18 14:07:02.245191813,Defaulted
LOAN300173,CUST104565,Student,23987.66,12.63,48,2020-08-24 11:51:33.372210026,Defaulted
LOAN300174,CUST100922,Vehicle,86270.34,10.14,240,2019-12-23 14:55:09.447910547,Active
LOAN300175,CUST103163,Student,92387.72,14.57,60,2016-03-10 11:24:37.385133982,Active
LOAN300176,CUST101768,Vehicle,142154.99,19.01,12,2023-11-27 11:04:07.450136662,Active
LOAN300177,CUST100938,Personal,39352.88,22.75,24,2024-06-07 09:42:24.915718794,Active
LOAN300178,CUST101853,Vehicle,340649.2,21.64,84,2020-03-19 02:12:29.164249420,Active
LOAN300179,CUST102378,Personal,11534.26,13.72,240,2016-10-20 21:37:46.003041506,Active
LOAN300180,CUST102727,Vehicle,29651.17,20.92,120,2023-11-25 10:49:38.349474192,Active
LOAN300181,CUST100306,Home,5377.67,24.57,84,2021-12-05 14:46:08.584292650,Active
LOAN300182,CUST104458,Student,44856.83,21.88,84,2021-08-31 05:02:47.086611509,Active
LOAN300183,CUST103023,Vehicle,24789.95,8.91,48,2020-12-15 02:46:29.551348209,Active
LOAN300184,CUST100059,Vehicle,29945.11,13.04,60,2019-10-16 21:41:08.050550699,Closed
LOAN300185,CUST103806,Business,5907.23,7.7,240,2021-10-13 21:34:45.025030136,Defaulted
LOAN300186,CUST104898,Business,45462.72,8.75,24,2024-06-23 06:40:19.729224443,Closed
LOAN300187,CUST102018,Personal,11106.23,13.62,36,2017-09-17 17:15:35.829451323,Active
LOAN300188,CUST101743,Student,80581.02,24.2,240,2019-09-21 00:57:11.035972357,Active
LOAN300189,CUST104115,Home,10411.91,9.81,48,2023-12-02 12:42:00.825619936,Active
LOAN300190,CUST100599,Home,41228.86,8.13,60,2018-02-23 00:34:55.395152807,Active
LOAN300191,CUST102391,Personal,17432.7,11.65,12,2018-11-16 08:12:41.894690990,Active
LOAN300192,CUST101231,Business,18511.57,23.61,12,2025-08-31 18:42:28.857681751,Active
LOAN300193,CUST102319,Business,41121.3,20.83,240,2020-01-09 01:22:08.728672981,Closed
LOAN300194,CUST101745,Personal,25405.82,22.31,48,2018-01-28 01:51:32.216734171,Active
LOAN300195,CUST102484,Home,117665.27,16.25,12,2018-10-15 09:10:39.334524155,Active
LOAN300196,CUST101926,Home,42718.1,23.2,48,2023-11-04 07:50:34.009938478,Active
LOAN300197,CUST101042,Student,73783.35,22.89,48,2023-12-13 23:09:09.158655405,Closed
LOAN300198,CUST101397,Business,45961.58,16.91,12,2016-11-15 00:30:18.639703989,Active
LOAN300199,CUST102211,Vehicle,42144.62,18.86,36,2021-10-12 20:43:26.795808315,Defaulted
LOAN300200,CUST100192,Personal,81973.88,13.57,84,2024-01-05 12:19:49.659919500,Defaulted
LOAN300201,CUST104674,Student,22455.88,9.92,120,2025-12-14 22:28:42.749618053,Active
LOAN300202,CUST101812,Student,129680.5,15.33,36,2020-07-21 13:43:06.660046339,Closed
LOAN300203,CUST100271,Student,11042.12,24.23,60,2024-04-29 06:12:49.208881140,Closed
LOAN300204,CUST101025,Vehicle,20178.11,20.24,84,2020-09-14 10:34:06.210852146,Active
LOAN300205,CUST100893,Student,33172.2,11.22,48,2021-12-31 02:35:46.346559525,Active
LOAN300206,CUST103834,Student,76980.22,13.4,12,2017-03-07 09:34:05.285992384,Closed
LOAN300207,CUST102763,Student,18108.77,,12,2021-06-24 10:38:38.646300316,Active
LOAN300208,CUST102164,Personal,6981.97,16.62,48,2019-07-12 09:52:09.668724537,Active
LOAN300209,CUST100836,Vehicle,51153.6,9.51,12,2023-06-27 01:34:20.766280413,Active
LOAN300210,CUST103804,Home,43225.64,22.57,36,2026-01-10 14:37:42.799717426,Closed
LOAN300211,CUST100825,Business,57194.61,15.26,48,2025-03-06 03:21:36.551669121,Active
LOAN300212,CUST100167,Business,119751.04,23.73,24,2021-05-08 19:10:34.284080744,Active
LOAN300213,CUST104660,Home,10469.13,20.2,84,2016-01-13 13:06:40.903082609,Active
LOAN300214,CUST103064,Vehicle,192635.5,22.26,240,2024-07-28 10:48:28.276668072,Active
LOAN300215,CUST103340,Vehicle,19848.51,19.52,240,2019-01-18 04:31:37.528895140,Active
LOAN300216,CUST104188,Vehicle,119982.8,21.07,84,2016-10-16 10:25:28.967819929,Restructured
LOAN300217,CUST100820,Business,38182.22,15.85,36,2018-03-17 13:33:17.389722347,Active
LOAN300218,CUST103450,Vehicle,10774.27,,24,2017-11-17 23:58:46.296051502,Defaulted
LOAN300219,CUST103101,Student,9512.11,12.64,240,2022-06-13 19:35:04.048365116,Closed
LOAN300220,CUST101439,Business,13562.49,13.94,240,2016-09-20 01:15:56.103502512,Active
LOAN300221,CUST101107,Vehicle,182537.48,14.69,240,2020-04-08 12:55:39.576462507,Active
LOAN300222,CUST103119,Student,86284.91,16.44,84,2021-05-10 22:05:57.807896852,Closed
LOAN300223,CUST101898,Business,17216.75,22.81,84,2017-06-17 17:49:31.451963186,Restructured
LOAN300224,CUST102060,Business,36792.78,,48,2024-11-28 20:03:10.191120863,Closed
LOAN300225,CUST104078,Business,16111.86,24.01,240,2019-04-11 00:00:11.405472279,Active
LOAN300226,CUST104850,Vehicle,42087.94,9.52,84,2019-04-08 23:47:04.804377556,Active
LOAN300227,CUST102149,Student,32597.65,17.15,60,2019-01-23 07:16:35.580452919,Closed
LOAN300228,CUST103559,Personal,12391.22,19.81,24,2020-12-16 06:56:47.399429083,Active
LOAN300229,CUST102682,Student,18390.39,14.95,24,2017-07-13 21:30:06.661948442,Active
LOAN300230,CUST100310,Student,30521.78,14.86,48,2017-05-21 04:56:25.373566866,Closed
LOAN300231,CUST102914,Student,11865.85,8.17,48,2016-02-03 18:54:33.699756145,Active
LOAN300232,CUST103873,Vehicle,16871.76,21.4,240,2025-08-08 04:12:19.633002043,Restructured
LOAN300233,CUST104037,Business,51055.75,11.82,12,2023-12-25 00:28:59.309825420,Active
LOAN300234,CUST102243,Business,43730.1,22.9,36,2024-04-03 10:18:06.267324685,Active
LOAN300235,CUST102642,Student,61908.06,9.65,120,2018-03-29 15:37:12.070898294,Active
LOAN300236,CUST101555,Student,25337.13,8.07,60,2020-03-26 20:35:21.987653494,Active
LOAN300237,CUST103960,Vehicle,5781.17,24.14,12,2023-09-11 04:14:45.180307150,Active
LOAN300238,CUST104488,Business,30726.47,19.43,12,2018-12-27 14:16:16.853253841,Active
LOAN300239,CUST100659,Vehicle,3695.49,21.75,48,2018-06-20 20:50:44.414829016,Active
LOAN300240,CUST103474,Personal,131022.87,17.75,60,2019-12-22 07:16:03.770839930,Defaulted
LOAN300241,CUST103595,Student,43211.53,13.02,24,2020-03-17 21:34:57.210508108,Active
LOAN300242,CUST100931,Student,89164.03,17.82,48,2016-08-18 06:27:51.307289839,Restructured
LOAN300243,CUST100549,Student,61300.63,11.58,48,2018-05-25 05:38:24.566370010,Closed
LOAN300244,CUST101347,Home,76909.96,,240,2025-12-01 16:54:54.814157486,Active
LOAN300245,CUST102434,Home,17440.13,20.8,36,2024-03-25 02:24:06.851682663,Active
LOAN300246,CUST100405,Personal,30792.84,21.94,24,2022-04-15 00:31:44.826025486,Active
LOAN300247,CUST103585,Student,2360.17,11.26,120,2017-06-22 01:54:36.329971790,Closed
LOAN300248,CUST102744,Personal,76073.05,16.09,36,2019-07-29 15:42:30.720082045,Active
LOAN300249,CUST100597,Student,8745.43,24.18,120,2020-06-03 12:11:41.872305155,Restructured
LOAN300250,CUST104004,Home,10289.38,8.03,24,2017-07-09 13:09:19.117655039,Active
LOAN300251,CUST102522,Vehicle,138200.9,20.57,48,2024-09-07 23:03:52.269675016,Active
LOAN300252,CUST103851,Home,89374.12,14.19,240,2021-10-04 09:56:41.918562889,Active
LOAN300253,CUST100319,Home,129112.86,15.17,24,2025-11-11 21:55:06.698912144,Active
LOAN300254,CUST102484,Home,8342.33,17.8,12,2024-12-23 10:15:20.544497728,Restructured
LOAN300255,CUST101680,Business,5955.23,11.2,24,2016-01-08 22:28:51.490708113,Closed
LOAN300256,CUST102586,Personal,5430.85,24.43,36,2026-01-22 09:25:54.355786085,Active
LOAN300257,CUST100074,Personal,77277.35,16.61,240,2017-06-20 04:50:45.829600573,Closed
LOAN300258,CUST104956,Student,51548.2,18.36,240,2017-05-16 23:04:55.175660133,Active
LOAN300259,CUST100858,Vehicle,25198.13,12.45,60,2016-07-14 22:30:33.391824484,Closed
LOAN300260,CUST102460,Business,4884.93,18.3,24,2016-11-18 20:51:44.732271671,Defaulted
LOAN300261,CUST101975,Vehicle,26339.11,14.62,12,2023-03-05 05:11:35.146023512,Defaulted
LOAN300262,CUST104684,Student,10203.24,21.49,48,2018-12-23 20:25:49.660778046,Active
LOAN300263,CUST101153,Student,40734.92,13.38,36,2023-03-22 14:59:59.419872522,Active
LOAN300264,CUST100268,Vehicle,25176.43,18.6,84,2024-07-02 07:12:10.464366436,Active
LOAN300265,CUST103784,Personal,18741.47,9.32,120,2019-04-05 07:09:27.733541727,Active
LOAN300266,CUST101256,Business,1311.98,13.3,60,2023-07-18 10:48:01.502365588,Closed
LOAN300267,CUST103270,Business,27628.95,8.39,120,2024-08-13 06:41:34.943869114,Closed
LOAN300268,CUST104875,Personal,53481.15,11.05,60,2023-01-29 21:57:09.918649912,Active
LOAN300269,CUST103171,Vehicle,109671.33,21.1,48,2021-12-20 00:27:01.174674988,Active
LOAN300270,CUST103254,Student,31374.82,23.18,84,2025-06-17 15:58:38.333488226,Closed
LOAN300271,CUST104506,Personal,14312.23,24.87,84,2022-03-16 13:13:55.885839462,Closed
LOAN300272,CUST101432,Vehicle,83081.01,11.61,48,2019-01-02 01:02:35.442911148,Closed
LOAN300273,CUST100179,Student,487948.58,22.88,84,2020-08-12 18:02:44.346305370,Defaulted
LOAN300274,CUST101984,Vehicle,52834.5,23.43,24,2022-09-14 06:39:38.312045336,Defaulted
LOAN300275,CUST104544,Vehicle,33134.02,10.02,48,2024-03-04 01:53:22.854551554,Closed
LOAN300276,CUST102252,Business,104495.15,20.3,120,2022-11-16 10:52:51.731640816,Closed
LOAN300277,CUST104093,Home,52348.12,22.02,240,2017-08-17 08:26:02.573461533,Active
LOAN300278,CUST100649,Personal,17792.59,8.58,36,2019-06-29 15:30:33.516332865,Closed
LOAN300279,CUST101717,Student,6145.44,17.75,12,2021-03-12 14:40:34.567320585,Active
LOAN300280,CUST104038,Vehicle,186742.06,23.72,48,2025-09-09 23:10:53.625344276,Closed
LOAN300281,CUST103558,Vehicle,35672.05,17.23,84,2025-07-02 06:09:40.193310738,Closed
LOAN300282,CUST101507,Business,64700.64,17.56,48,2016-12-16 21:17:26.134880781,Defaulted
LOAN300283,CUST102331,Personal,31262.94,15.25,48,2021-06-28 01:54:11.649851322,Closed
LOAN300284,CUST100302,Student,67120.98,13.18,120,2023-04-08 23:55:33.543025017,Closed
LOAN300285,CUST104949,Personal,32229.17,22.95,48,2024-01-17 01:14:59.566775799,Active
LOAN300286,CUST100405,Business,31760.16,11.54,240,2024-10-11 18:10:08.392574310,Active
